tier,tuned_for,n_features,threshold,Accuracy,Sensitivity,Specificity,PPV,NPV,AUC,F1,F2
Tier_1_Basic,recall,6,0.5,0.6441977569237812,0.6506506506506506,0.6433647758108283,0.1906158357771261,0.934496996996997,0.7107342515017926,0.2948514402358811,0.43883337834188496
Tier_1_Basic,recall,6,0.30000000000000004,0.36724650949874116,0.9129129129129129,0.2968083731748288,0.14353163361661944,0.9635067114093959,0.7107342515017926,0.248062015503876,0.4405797101449275
Tier_2_Clinical,recall,10,0.5,0.8398947127489128,0.8648648648648649,0.8366714045742344,0.40601503759398494,0.9795763993948563,0.9252698233832747,0.5526063319475536,0.705421293272371
Tier_2_Clinical,recall,10,0.3500000000000001,0.8013275349050126,0.913913913913914,0.7867941594521256,0.3562231759656652,0.9860728744939271,0.9252698233832747,0.5126333520494104,0.6959902424150023
Tier_3_Personalized,recall,19,0.5,0.8542000457770657,0.8648648648648649,0.8528233621914976,0.4313529705441837,0.9799554565701559,0.9327786243408417,0.575616255829447,0.720120020003334
Tier_3_Personalized,recall,19,0.3500000000000001,0.8148317692835889,0.9129129129129129,0.8021708231037602,0.3733115022513303,0.9861795075456712,0.9327786243408417,0.5299244625217896,0.7081845006988662
