tier,threshold,n_features,Accuracy,Sensitivity,Specificity,PPV,NPV,AUC,F1,F2,AUC_CI_Low,AUC_CI_High,Best_Params
Tier_1_Basic,0.5,6,0.6828793774319066,0.6026026026026026,0.6932420209329371,0.20228494623655913,0.9311003123915307,0.7111317287050585,0.30289308176100627,0.43172690763052207,0.6942277750617674,0.7267923195632011,"{'clf__n_estimators': 150, 'clf__min_samples_split': 2, 'clf__max_depth': 5, 'clf__class_weight': 'balanced'}"
Tier_2_Clinical,0.5,10,0.8352025635156787,0.8748748748748749,0.830081405866391,0.39926907263590683,0.9809131165063368,0.9237566161587353,0.548306148055207,0.7065481002425222,0.9159979971441695,0.9306618661727034,"{'clf__n_estimators': 50, 'clf__min_samples_split': 2, 'clf__max_depth': 5, 'clf__class_weight': 'balanced'}"
Tier_3_Personalized,0.5,19,0.8341725795376517,0.8858858858858859,0.8274970926476289,0.39864864864864863,0.9825099723841669,0.9312270663220399,0.5498602050326188,0.7118725868725869,0.9242785065072654,0.9380159112022511,"{'clf__n_estimators': 100, 'clf__min_samples_split': 2, 'clf__max_depth': 5, 'clf__class_weight': 'balanced'}"
