Feature,Lasso AUC,Lasso Recall,EN AUC,EN Recall,RFE AUC,RFE Recall,RCV AUC,RCV Recall,SUM
HVYDRKMON,0,0,0,0,0,0,1,1,2
IICOSUITHNK,0,0,1,1,0,0,0,0,2
HLTINMNT,0,0,0,0,0,0,1,1,2
HIGHBPMED,0,0,1,1,0,0,0,0,2
HALLUCOT3,0,0,1,1,0,0,0,0,2
HALLUCMON,0,0,0,0,0,0,1,1,2
EDFAM18,0,0,0,0,0,0,1,1,2
IIEDUHIGHST2,0,0,0,0,0,0,1,1,2
DSTNRV30,0,0,0,0,1,1,0,0,2
ECSTMOMON,0,0,0,0,0,0,1,1,2
ENRLCOLLFT2,0,0,1,1,0,0,0,0,2
EDUHIGHCAT,0,0,0,0,0,0,1,1,2
IIDSTEFF30,0,0,0,0,1,1,0,0,2
IIECSTMOYFU,0,0,0,0,0,0,1,1,2
COMHAPTDL,0,0,0,0,0,0,1,1,2
COMHAPTDL2,0,0,0,0,0,0,1,1,2
COMHTELE,0,0,0,0,0,0,1,1,2
COHCTELE2,0,0,0,0,0,0,1,1,2
FUPCP18,0,0,1,1,0,0,0,0,2
COHCSVHLT2,0,0,0,0,0,0,1,1,2
FUHER21,0,0,1,1,0,0,0,0,2
FUCOC18,0,0,1,1,0,0,0,0,2
COCAGLST,0,0,1,1,0,0,0,0,2
CDCGMO,0,0,0,0,0,0,1,1,2
CDNOCGMO,0,0,0,0,0,0,1,1,2
CNSNMYR,0,0,0,0,0,0,1,1,2
CATAG2,0,0,1,1,0,0,0,0,2
CATAGE,0,0,0,0,0,0,1,1,2
DRVINAGE,0,0,1,1,0,0,0,0,2
DIFGETHER,0,0,0,0,0,0,1,1,2
COPDAGE,0,0,0,0,1,1,0,0,2
COMHTELE2,0,0,0,0,0,0,1,1,2
CHAMPUS,0,0,0,0,0,0,1,1,2
CADRKHALL,0,0,1,1,0,0,0,0,2
ASTHMANOW,0,1,0,0,0,1,0,0,2
BNGDRKMON,0,0,0,0,0,0,1,1,2
COHCRXDL2,0,0,0,0,0,0,1,1,2
COFINANC,0,0,0,0,0,0,1,1,2
SYNMRJFLAG,0,0,0,0,0,0,1,1,2
SYNSTMREC,0,0,0,0,0,0,1,1,2
TOBMON,0,0,0,0,1,1,0,0,2
TRQRSOTRS2,0,0,1,1,0,0,0,0,2
UD5ALNILANY,0,0,1,1,0,0,0,0,2
UDINMNTLCTD,0,0,1,1,0,0,0,0,2
SVYRSUDANY,0,0,1,1,0,0,0,0,2
AMDETXRX,0,0,1,1,0,0,0,0,2
ADWRGAIN,0,0,1,1,0,0,0,0,2
IRIMPGOUTM,1,1,0,0,0,0,0,0,2
IRIMPREMEM,0,0,1,1,0,0,0,0,2
IRIMPPEOP,0,0,1,1,0,0,0,0,2
IRIMPCONCN,0,0,1,1,0,0,0,0,2
ILTOBVAPALC,0,0,0,0,0,0,1,1,2
IIOXCNANYYR,1,1,0,0,0,0,0,0,2
IIPRVHLT,0,0,1,1,0,0,0,0,2
PYUD5MRJ,0,0,0,0,1,1,0,0,2
RCVYSUBPRB,0,0,0,0,0,0,1,1,2
RKFQPBLT,0,0,0,0,0,0,1,1,2
RSKBNGWK,0,0,0,0,0,0,1,1,2
RSKYFQTES,0,0,0,0,0,0,1,1,2
RSKYFQDGR,0,0,0,0,0,0,1,1,2
SALVIAMON,0,0,0,0,0,0,1,1,2
IREDUHIGHST2,0,0,0,0,0,0,1,1,2
IRTRQNMYFU,0,0,0,0,0,0,1,1,2
IMPWEEKS,1,1,0,0,0,0,0,0,2
IMPWORK,0,0,0,0,1,1,0,0,2
IRCD2YFU,0,0,0,0,0,0,1,1,2
IRTRQNMAGE,0,0,0,0,0,0,1,1,2
IRSUTINOPL,1,1,0,0,0,0,0,0,2
IRMHTOUTMHCR,0,0,1,1,0,0,0,0,2
IRMHTINHOSP,0,0,1,1,0,0,0,0,2
IRFAMPMT,0,0,1,1,0,0,0,0,2
IMPDYFRQ,0,0,1,1,0,0,0,0,2
IIFAMIN3,1,1,0,0,0,0,0,0,2
IMPSOC,0,0,1,1,0,0,0,0,2
IIHH65_2,0,0,0,0,0,0,1,1,2
IIPYSEV5COC,1,1,0,0,0,0,0,0,2
IISUICTHNK,0,0,1,1,0,0,0,0,2
ILLORALC,0,0,0,0,0,0,1,1,2
IITRQNMINIT,0,0,0,0,0,0,1,1,2
